Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
5.06,98.16,2024-04-16 17:00,525124698.0,1.07
5.07,98.18,2024-04-16 04:00,525127688.0,0.84
5.05,98.2,2024-04-16 06:00,525259184.0,0.52
5.07,98.2,2024-04-16 05:00,525259184.0,1.03
5.02,98.22,2024-04-16 05:00,525128881.0,1.03
5.07,98.19,2024-04-16 03:00,525128881.0,0.8
5.03,98.21,2024-04-16 01:00,525128222.0,0.88
5.02,98.22,2024-04-16 01:00,525124698.0,1.02
4.98,98.24,2024-04-16 07:00,525127688.0,0.72
4.98,98.24,2024-04-16 06:00,525128881.0,1.02
4.95,98.25,2024-04-16 20:00,525128222.0,1.03
4.97,98.18,2024-04-16 14:00,525124698.0,1.0
4.93,98.18,2024-04-16 13:00,525124698.0,1.0
4.99,98.22,2024-04-16 20:00,525124698.0,0.95
4.95,98.25,2024-04-16 23:00,525124698.0,0.38
4.92,98.26,2024-04-16 08:00,525127688.0,1.39
4.93,98.29,2024-04-16 21:00,525127688.0,1.01
4.94,98.29,2024-04-16 22:00,525127688.0,0.58
4.93,98.27,2024-04-16 10:00,525259184.0,0.79
4.93,98.32,2024-04-16 11:00,525259184.0,1.1
4.9,98.24,2024-04-16 10:00,525124698.0,1.02
4.89,98.19,2024-04-16 12:00,525124698.0,1.02
4.87,98.21,2024-04-16 11:00,525124698.0,0.99
4.89,98.29,2024-04-16 20:00,525127688.0,1.02
4.86,98.34,2024-04-16 10:00,525128881.0,1.03
4.9,98.28,2024-04-16 08:00,525128881.0,1.34
4.87,98.28,2024-04-16 18:00,525128222.0,1.01
4.87,98.38,2024-04-16 13:00,525259184.0,0.9
4.83,98.41,2024-04-16 14:00,525259184.0,0.42
4.84,98.38,2024-04-16 11:00,525128881.0,1.09
4.82,98.31,2024-04-16 18:00,525127688.0,1.08
4.77,98.31,2024-04-16 17:00,525127688.0,0.82
4.75,98.33,2024-04-16 13:00,525127688.0,0.82
4.81,98.33,2024-04-16 11:00,525127688.0,1.03
4.8,98.41,2024-04-16 12:00,525128881.0,1.02
4.72,98.28,2024-04-16 15:00,525128222.0,1.11
4.98,98.57,2024-04-16 22:00,525259184.0,1.04
4.9,98.52,2024-04-16 18:00,525128881.0,0.88
4.85,98.54,2024-04-16 23:00,525128881.0,1.02
4.74,98.46,2024-04-16 14:00,525128881.0,0.57
3.73,99.36,2024-04-16 17:00,525131693.0,5.61
3.14,100.57,2024-04-16 04:00,533348244.0,0.77
3.01,100.79,2024-04-16 11:00,533348244.0,0.6
2.87,100.94,2024-04-17 00:00,533340372.0,0.91
2.84,100.97,2024-04-16 23:00,533348244.0,0.02
2.85,101.0,2024-04-16 23:00,100915917.0,0.79
5.93,106.58,2024-04-17 00:00,0.0,0.9
5.91,106.62,2024-04-16 19:00,0.0,0.97
4.82,106.73,2024-04-16 14:00,0.0,0.25
3.78,105.19,2024-04-16 15:00,525132198.0,0.85
4.12,105.78,2024-04-16 01:00,525132198.0,0.25
3.62,105.54,2024-04-16 13:00,0.0,0.85
3.62,105.55,2024-04-16 22:00,0.0,3.82
3.62,105.54,2024-04-16 18:00,0.0,0.8
3.57,105.57,2024-04-17 00:00,0.0,0.55
3.58,105.78,2024-04-16 17:00,0.0,1.1
3.58,105.78,2024-04-16 18:00,0.0,0.8
3.58,105.78,2024-04-16 06:00,0.0,0.07
3.64,105.89,2024-04-16 18:00,0.0,1.02
2.4,101.36,2024-04-16 15:00,0.0,1.04
2.2,101.59,2024-04-16 09:00,0.0,1.01
2.02,101.87,2024-04-16 03:00,0.0,1.01
1.45,102.14,2024-04-16 00:00,0.0,9.99
1.77,105.06,2024-04-16 11:00,0.0,0.78
1.76,105.07,2024-04-16 12:00,0.0,1.04
2.03,105.32,2024-04-16 13:00,525400635.0,2.3
1.99,105.33,2024-04-16 16:00,525400635.0,0.95
1.71,105.08,2024-04-16 15:00,0.0,1.05
1.7,105.08,2024-04-16 16:00,0.0,0.85
1.68,105.08,2024-04-16 21:00,0.0,0.34
1.55,104.92,2024-04-16 13:00,525800166.0,0.84
1.49,104.94,2024-04-16 17:00,525800166.0,0.58
1.44,105.22,2024-04-16 13:00,525482275.0,3.39
1.55,105.39,2024-04-16 09:00,0.0,1.21
1.51,105.4,2024-04-16 14:00,0.0,0.41
1.55,105.39,2024-04-16 10:00,0.0,1.0
1.47,105.41,2024-04-16 17:00,0.0,1.08
1.45,105.41,2024-04-16 18:00,0.0,1.05
1.1,104.17,2024-04-16 01:00,0.0,0.94
1.1,104.17,2024-04-16 03:00,0.0,0.55
1.1,104.17,2024-04-16 05:00,0.0,0.79
1.39,105.23,2024-04-16 18:00,525482275.0,0.91
1.39,105.23,2024-04-16 19:00,525482275.0,0.51
1.01,105.27,2024-04-16 17:00,525500052.0,1.04
1.04,105.26,2024-04-16 15:00,525500052.0,1.23
1.02,105.27,2024-04-16 16:00,525500052.0,0.83
1.02,105.22,2024-04-16 16:00,525001788.0,1.17
0.94,105.3,2024-04-16 17:00,0.0,0.43
0.99,105.88,2024-04-16 14:00,525500440.0,0.89
1.03,105.88,2024-04-16 13:00,525500440.0,1.11
0.88,105.9,2024-04-16 14:00,0.0,1.03
3.28,107.99,2024-04-16 20:00,0.0,0.25
3.28,107.98,2024-04-16 19:00,0.0,1.38
0.48,108.58,2024-04-16 12:00,0.0,0.26
0.46,108.59,2024-04-16 13:00,0.0,1.63
0.42,108.6,2024-04-16 15:00,0.0,1.3
0.43,108.59,2024-04-16 17:00,0.0,0.6
1.1,140.64,2024-04-16 14:00,525401348.0,0.75
1.1,140.62,2024-04-16 19:00,525401348.0,2.11
1.1,140.63,2024-04-16 09:00,525401348.0,1.85
2.01,118.15,2024-04-16 18:00,563184400.0,1.2
2.01,118.15,2024-04-16 14:00,563184400.0,0.8
2.01,118.15,2024-04-16 17:00,563184400.0,0.8
1.9,134.21,2024-04-17 00:00,525800706.0,3.92
0.54,140.21,2024-04-16 17:00,0.0,0.88
0.54,140.2,2024-04-16 13:00,0.0,1.03
0.54,140.2,2024-04-16 12:00,0.0,5.28
3.44,127.94,2024-04-16 13:00,0.0,0.45
3.43,127.93,2024-04-16 12:00,0.0,15.06
0.38,140.31,2024-04-16 19:00,0.0,1.91
0.38,140.3,2024-04-16 11:00,0.0,1.11
0.38,140.31,2024-04-16 14:00,0.0,1.06
0.38,140.3,2024-04-16 13:00,0.0,0.72
0.38,140.3,2024-04-16 10:00,0.0,0.9
3.11,127.96,2024-04-16 00:00,525600177.0,3.38
3.55,128.22,2024-04-17 00:00,525600177.0,2.28
1.95,118.07,2024-04-17 00:00,0.0,1.21
-1.15,94.88,2024-04-16 22:00,0.0,0.59
-1.18,94.93,2024-04-16 23:00,0.0,0.11
-2.02,104.96,2024-04-16 21:00,0.0,1.03
-2.09,105.05,2024-04-17 00:00,0.0,1.02
-2.09,105.13,2024-04-16 07:00,0.0,1.01
-2.21,105.02,2024-04-16 03:00,525100456.0,0.9
-2.22,105.04,2024-04-16 04:00,525100456.0,1.03
-2.25,105.1,2024-04-16 06:00,525100456.0,0.97
-4.06,110.49,2024-04-16 19:00,525900411.0,0.85
