Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
0.56,138.4,2024-02-25 19:00,0.0,1.58
0.56,138.4,2024-02-25 17:00,0.0,1.14
0.56,138.4,2024-02-25 20:00,0.0,1.01
0.57,138.46,2024-02-28 12:00,0.0,1.4
0.58,138.46,2024-02-28 01:00,0.0,0.13
0.47,138.31,2024-02-25 15:00,0.0,1.0
0.4,138.24,2024-02-25 13:00,0.0,1.12
0.42,138.26,2024-02-25 14:00,0.0,0.44
0.52,138.36,2024-02-25 16:00,0.0,1.04
0.28,138.13,2024-02-25 11:00,0.0,1.05
0.32,138.16,2024-02-29 00:00,0.0,0.79
0.2,138.11,2024-02-25 10:00,0.0,0.4
0.09,137.92,2024-02-25 01:00,0.0,0.55
0.12,137.97,2024-02-25 02:00,0.0,1.04
0.02,137.86,2024-02-24 22:00,0.0,1.04
0.07,137.86,2024-02-24 23:00,0.0,1.14
0.0,137.94,2024-02-24 10:00,0.0,1.09
0.09,137.92,2024-02-25 00:00,0.0,1.04
0.13,138.05,2024-02-25 04:00,0.0,0.47
0.11,138.06,2024-02-25 05:00,0.0,1.07
0.14,138.03,2024-02-25 03:00,0.0,1.14
0.1,138.06,2024-02-25 08:00,0.0,0.65
0.1,138.06,2024-02-25 07:00,0.0,1.09
0.11,138.06,2024-02-25 06:00,0.0,1.04
0.14,138.08,2024-02-25 09:00,0.0,1.87
0.04,138.02,2024-02-24 11:00,0.0,1.59
0.03,138.1,2024-02-24 13:00,0.0,1.17
0.06,138.08,2024-02-24 12:00,0.0,0.39
0.33,138.17,2024-02-25 12:00,0.0,1.52
0.57,138.54,2024-02-28 02:00,0.0,1.12
0.55,138.54,2024-02-28 11:00,0.0,1.05
0.55,138.67,2024-02-28 05:00,0.0,1.08
0.55,138.65,2024-02-28 09:00,0.0,0.71
0.55,138.65,2024-02-28 03:00,0.0,1.3
0.55,138.63,2024-02-28 08:00,0.0,1.02
0.55,138.65,2024-02-28 07:00,0.0,1.96
0.55,138.68,2024-02-28 04:00,0.0,1.26
0.55,138.62,2024-02-28 10:00,0.0,0.93
1.07,140.42,2024-02-18 00:00,525301843.0,0.34
1.12,140.56,2024-02-19 12:00,525301843.0,4.15
1.11,140.57,2024-02-19 07:00,525301843.0,5.47
0.85,140.06,2024-02-24 18:00,0.0,2.03
0.85,140.06,2024-02-24 12:00,0.0,1.05
0.85,140.06,2024-02-24 16:00,0.0,3.14
0.85,140.06,2024-02-24 13:00,0.0,0.85
0.93,140.52,2024-02-22 15:00,525301843.0,2.9
0.93,140.52,2024-02-22 12:00,525301843.0,0.97
0.94,140.52,2024-02-23 11:00,525301843.0,3.1
0.93,140.52,2024-02-22 20:00,525301843.0,4.08
0.93,140.52,2024-02-23 08:00,525301843.0,0.94
0.93,140.52,2024-02-22 16:00,525301843.0,0.57
0.93,140.52,2024-02-22 11:00,525301843.0,21.21
0.87,140.45,2024-02-17 17:00,525301843.0,1.38
0.87,140.45,2024-02-17 13:00,525301843.0,1.3
0.87,140.45,2024-02-17 15:00,525301843.0,2.17
0.87,140.45,2024-02-17 18:00,525301843.0,1.54
0.87,140.45,2024-02-17 12:00,525301843.0,3.15
0.6,140.06,2024-02-23 12:00,0.0,0.23
0.6,140.06,2024-02-23 08:00,0.0,0.94
0.6,140.06,2024-02-23 11:00,0.0,3.21
0.61,140.07,2024-02-23 19:00,0.0,2.31
0.6,140.06,2024-02-23 17:00,0.0,5.29
0.54,140.11,2024-02-16 02:00,0.0,0.81
0.54,140.12,2024-02-16 01:00,0.0,0.86
0.54,140.12,2024-02-16 00:00,0.0,2.85
0.46,140.03,2024-02-22 17:00,0.0,3.85
0.45,140.04,2024-02-22 13:00,0.0,1.26
0.45,140.05,2024-02-22 11:00,0.0,1.23
0.46,140.02,2024-02-22 20:00,0.0,1.52
0.46,140.03,2024-02-22 18:00,0.0,1.08
0.46,140.06,2024-02-22 09:00,0.0,2.25
0.46,140.06,2024-02-22 10:00,0.0,0.77
0.45,140.05,2024-02-22 12:00,0.0,0.9
0.44,140.26,2024-02-25 14:00,0.0,2.09
0.44,140.26,2024-02-25 19:00,0.0,4.92
0.44,140.27,2024-02-25 12:00,0.0,1.02
0.69,140.61,2024-02-24 19:00,525301843.0,7.59
0.56,140.52,2024-02-28 19:00,525301843.0,1.37
0.53,140.51,2024-02-28 09:00,525301843.0,0.67
0.55,140.51,2024-02-28 17:00,525301843.0,8.25
0.53,140.51,2024-02-28 08:00,525301843.0,0.32
0.56,140.62,2024-02-25 21:00,525301843.0,1.1
0.44,140.28,2024-02-25 09:00,0.0,1.7
0.44,140.27,2024-02-25 11:00,0.0,2.13
0.42,140.6,2024-02-27 12:00,525301843.0,0.34
0.42,140.6,2024-02-27 13:00,525301843.0,1.18
0.43,140.6,2024-02-27 18:00,525301843.0,5.05
0.43,140.58,2024-02-27 19:00,525301843.0,1.53
0.44,140.57,2024-02-27 20:00,525301843.0,0.4
0.27,140.24,2024-02-26 17:00,0.0,5.11
0.27,140.24,2024-02-26 10:00,0.0,0.68
0.27,140.24,2024-02-26 12:00,0.0,0.85
